Country or Administrative area,Area [km2],Coast length [km],Rainfall [mm year -1],Factor L/A [-],Factor (L/A) *P [-],P[E] [%],MPW (metric tons year -1),M[E] (metric tons year -1),Ratio Me/MPW
Albania,28'486,362,1'117,0.01,14.0,1.56%,69'833,1'565,2.24%
Algeria,2'316'559,998,80,0.0004,0.0,0.09%,764'578,5'774,0.76%
Angola,1'247'357,1'600,1'025,0.001,1.0,0.09%,236'946,860,0.36%
Antigua and Barbuda,443,153,996,0.3,344.0,3.08%,627,2,0.29%
Argentina,2'779'705,4'989,567,0.002,1.0,0.26%,465'808,4'137,0.89%
Australia,7'687'219,25'760,480,0.003,2.0,0.18%,5'266,32,0.60%
Bahamas,13'336,3'542,1'006,0.3,267.0,2.04%,2'212,20,0.92%
Bahrain,673,161,73,0.2,17.0,0.00%,1'043,0,0.00%
Bangladesh,136'478,2'320,2'249,0.02,38.0,2.32%,1'021'990,24'640,2.41%
Barbados,439,97,1'512,0.2,334.0,4.35%,872,45,5.14%
Belgium,30'671,67,844,0.002,2.0,0.71%,2'284,34,1.48%
Belize,22'217,386,2'003,0.02,35.0,3.54%,6'021,374,6.22%
Benin,115'542,121,1'035,0.001,1.0,0.14%,133'335,1'639,1.23%
Bosnia and Herzegovina,50'993,20,1'031,0.0004,0.0,0.95%,55'551,6,0.01%
Brazil,8'484'839,7'491,1'746,0.0009,2.0,0.24%,3'296'700,37'799,1.15%
Brunei,5'880,161,3'392,0.03,93.0,10.22%,692,134,19.36%
Bulgaria,111'300,354,590,0.003,2.0,0.13%,3'117,7,0.22%
Burkina Faso,273'367,354,752,0.001,1.0,0.00%,317'298,0,0.00%
Myanmar,667'871,1'930,2'015,0.003,6.0,0.36%,434'432,2'544,0.59%
Cambodia,181'380,443,1'787,0.002,4.0,0.63%,247'495,1'113,0.45%
Cameroon,466'295,402,1'612,0.0009,1.0,0.45%,578'798,10'671,1.84%
Canada,9'924'777,202'080,468,0.02,10.0,0.55%,23'587,238,1.01%
Cape Verde,4'058,965,204,0.2,49.0,0.00%,3'568,0,0.00%
Chile,754'237,6'435,957,0.009,8.0,2.58%,30'767,322,1.05%
China,9'373'898,14'500,561,0.002,1.0,0.19%,12'272'200,70'707,0.58%
Colombia ,1'137'921,3'208,2'632,0.003,7.0,0.62%,85'454,431,0.50%
Comoros ,1'671,340,1'993,0.2,405.0,0.00%,59'158,0,0.00%
Congo,341'574,169,1'644,0.0005,1.0,0.08%,65'291,676,1.04%
Congo (Democratic Republic of the),2'327'986,37,1'575,2e-05,0.0,0.01%,1'369'730,420,0.03%
Costa Rica ,51'222,1'290,2'856,0.03,72.0,6.25%,5'751,450,7.82%
C̫te d'Ivoire ,321'882,515,1'274,0.002,2.0,0.00%,291'614,4'784,1.64%
Croatia ,56'377,5'835,966,0.1,100.0,0.00%,17'544,224,1.28%
Cyprus ,9'013,648,482,0.07,35.0,0.62%,837,3,0.33%
Denmark ,44'441,7'314,673,0.2,111.0,2.33%,390,9,2.42%
Djibouti ,21'679,314,169,0.01,2.0,0.22%,10'289,4,0.04%
Dominica,767,148,1'827,0.2,353.0,7.73%,1'082,53,4.88%
Dominican Republic ,48'183,1'288,1'366,0.03,37.0,2.59%,194'018,6'276,3.23%
Ecuador,256'212,2'237,1'985,0.009,17.0,0.57%,108'797,1'136,1.04%
Egypt,982'443,2'900,20,0.003,0.0,0.04%,1'435'510,2'471,0.17%
El Salvador ,20'580,307,1'803,0.01,27.0,2.71%,21'693,808,3.73%
Equatorial Guinea ,26'987,296,2'223,0.01,24.0,2.97%,9'403,405,4.31%
Eritrea,122'099,2'234,361,0.02,7.0,0.13%,84'088,48,0.06%
Estonia,45'438,3'794,644,0.08,54.0,0.76%,600,12,1.94%
Federated States of Micronesia,692,1'117,3'821,2.0,6164.0,5.00%,447,37,8.28%
Fiji ,18'298,1'129,2'570,0.06,159.0,7.54%,3'858,365,9.45%
Finland ,335'647,125,580,0.0004,0.0,0.00%,2'621,0,0.00%
France,548'780,4'668,847,0.009,7.0,0.56%,27'780,235,0.85%
French Guiana ,83'267,459,2'704,0.006,15.0,2.18%,126,7,5.56%
Gabon ,264'716,885,1'838,0.003,6.0,0.70%,5'991,445,7.42%
Gambia ,10'797,80,789,0.007,6.0,0.67%,35'095,421,1.20%
Georgia ,69'798,310,1'090,0.004,5.0,1.23%,307,3,0.98%
Germany ,357'242,2'389,778,0.007,5.0,0.26%,50'676,134,0.26%
Ghana,238'761,539,1'211,0.002,3.0,0.28%,520'002,4'185,0.80%
Greece ,132'559,13'676,655,0.1,68.0,0.91%,4'506,216,4.80%
Grenada ,366,121,1'701,0.3,563.0,5.99%,1'357,130,9.55%
Guadeloupe ,1'673,306,1'411,0.2,258.0,4.35%,162,4,2.51%
Guatemala ,109'283,400,2'270,0.004,8.0,1.74%,311'003,7'142,2.30%
Guinea ,244'872,320,1'807,0.001,2.0,0.00%,147'997,2'347,1.59%
Guinea-Bissau ,33'973,350,1'614,0.01,17.0,2.36%,20'465,247,1.21%
Guyana,210'025,459,1'938,0.002,4.0,0.89%,27'565,1'246,4.52%
Haiti,27'069,1'771,1'456,0.07,95.0,2.95%,237'968,6'929,2.91%
Honduras ,113'032,820,1'697,0.007,12.0,1.48%,145'995,2'436,1.67%
Hong Kong ,1'046,1'189,1'863,1.0,2118.0,4.51%,5'781,112,1.94%
Iceland ,102'566,497,1'026,0.005,5.0,0.00%,151,0,0.00%
India ,3'153'013,7'517,1'128,0.002,3.0,0.45%,12'994'100,126'513,0.97%
Indonesia ,1'888'924,54'716,2'703,0.03,78.0,4.45%,824'234,56'333,6.83%
Iran,1'621'476,244,235,0.0002,0.0,0.07%,495'965,928,0.19%
Iraq ,437'114,58,212,0.0001,0.0,0.01%,491'771,67,0.01%
Ireland ,69'809,1'448,1'237,0.02,26.0,2.97%,2'675,115,4.29%
Israel ,21'981,273,300,0.01,4.0,0.29%,6'060,33,0.55%
Italy ,301'631,7'600,792,0.03,20.0,0.88%,38'803,414,1.07%
Jamaica ,11'025,1'022,1'713,0.09,159.0,5.07%,49'673,2'334,4.70%
Japan ,373'665,29'751,1'606,0.08,128.0,3.58%,35'684,1'835,5.14%
Jordan,89'066,26,108,0.0003,0.0,0.07%,124'425,1,0.00%
Kazakhstan ,2'704'399,26,247,1e-05,0.0,0.10%,54'242,13,0.02%
Kenya ,582'253,536,601,0.0009,1.0,0.17%,289'917,259,0.09%
Kiribati ,930,1'143,1'211,1.0,1488.0,0.00%,74,0,0.00%
Kuwait ,17'323,499,116,0.03,3.0,0.20%,2'640,7,0.26%
Latvia ,64'563,498,670,0.008,5.0,0.50%,955,9,0.92%
Lebanon ,10'133,225,812,0.02,18.0,1.27%,46'622,684,1.47%
Lesotho ,30'454,225,758,0.007,6.0,0.00%,30'391,0,0.00%
Liberia ,95'878,579,2'639,0.006,16.0,3.68%,39'930,2'638,6.61%
Libya ,1'616'873,177,32,0.0001,0.0,0.06%,188'535,879,0.47%
Lithuania ,64'945,90,656,0.001,1.0,0.21%,1'037,7,0.70%
Macau ,19,41,1'750,2.0,3771.0,1.62%,14'749,341,2.31%
Madagascar ,591'575,4'828,1'384,0.008,11.0,1.58%,25'250,775,3.07%
Malaysia ,329'721,4'675,2'865,0.01,41.0,4.38%,814'454,73'098,8.98%
Maldives ,183,644,129,4.0,455.0,0.00%,60,0,0.00%
Malta,314,197,490,0.6,308.0,0.00%,259,0,0.00%
Marshall Islands ,199,370,859,2.0,1595.0,0.00%,16,0,0.00%
Martinique ,1'142,350,1'840,0.3,564.0,10.11%,139,22,15.77%
Mauritania ,1'040'736,754,84,0.0007,0.0,0.10%,20'796,127,0.61%
Mauritius ,2'016,177,1'612,0.09,142.0,0.00%,299,0,0.00%
Mexico,1'957'508,9'330,753,0.005,4.0,0.46%,430'614,3'512,0.82%
Monaco ,8,4,821,0.5,389.0,0.00%,5,0,0.00%
Montenegro ,13'780,294,1'181,0.02,25.0,2.08%,16,0,0.00%
Morocco,406'318,1'835,295,0.005,1.0,0.15%,295'488,1'800,0.61%
Mozambique,786'095,2'470,971,0.003,3.0,0.36%,434'432,2'544,0.59%
,,,,,,,,,
Namibia ,824'206,1'572,275,0.002,1.0,0.05%,20'892,2,0.01%
Netherlands ,34'968,523,794,0.01,12.0,1.54%,15'233,271,1.78%
New Zealand ,270'409,15'134,1'694,0.06,95.0,3.78%,1'714,68,3.99%
Nicaragua ,129'013,910,2'147,0.007,15.0,2.08%,110'862,1'465,1.32%
Nigeria ,909'482,853,1'158,0.0009,1.0,0.42%,1'948'950,18'640,0.96%
North Korea ,122'469,2'495,954,0.02,19.0,0.69%,322,50,15.51%
Norway ,324'286,25'148,1'046,0.08,81.0,0.00%,1'494,0,0.00%
Oman ,307'991,2'092,119,0.007,1.0,0.11%,1'251,1,0.11%
Pakistan ,876'262,1'046,278,0.001,0.0,0.02%,1'346'460,873,0.06%
Palau ,460,1'519,2'763,3.0,9129.0,13.74%,116,7,6.07%
Palestine ,12'232,45,2'700,0.004,10.0,9.29%,2'129,118,5.55%
Panama,75'042,249,2'615,0.003,9.0,7.12%,36'339,5'237,14.41%
Papua New Guinea ,462'196,5'152,2'982,0.01,33.0,4.39%,119'538,3'059,2.56%
Peru,1'291'445,2'414,1'585,0.002,3.0,0.05%,140'313,259,0.18%
Philippines ,296'017,36'289,2'497,0.1,306.0,7.17%,4'025'300,356'371,8.85%
Poland ,311'947,440,589,0.001,1.0,0.13%,14'124,29,0.21%
Portugal ,91'978,1'793,904,0.02,18.0,0.84%,3'818,76,1.99%
Puerto Rico ,9'018,501,1'698,0.06,94.0,5.77%,1'293,71,5.46%
Qatar ,11'367,563,79,0.05,4.0,0.07%,1'532,0,0.00%
Reunion ,2'541,563,1'504,0.2,333.0,0.00%,233,0,0.00%
Romania ,237'980,225,614,0.0009,1.0,0.04%,52'161,80,0.15%
Russia,16'945'398,37'653,430,0.002,1.0,0.12%,363'389,542,0.15%
Saint Kitts and Nevis ,276,135,1'283,0.5,628.0,2.52%,97,1,0.56%
Saint Lucia,617,158,2'022,0.3,517.0,7.92%,4'276,449,10.50%
Saint Martin,55,59,862,1.0,930.0,0.00%,8,0,0.00%
Saint Vincent and the Grenadines,409,84,1'913,0.2,393.0,7.19%,1'235,81,6.58%
Samoa,2'877,403,3'323,0.1,465.0,0.00%,1'738,0,0.00%
Sao Tome and Principe ,1'009,209,2'327,0.2,482.0,3.67%,2'069,77,3.71%
Saudi Arabia,1'959'676,2'640,103,0.001,0.0,0.06%,7'176,3,0.05%
Senegal ,196'761,531,651,0.003,2.0,0.21%,65'660,169,0.26%
Seychelles ,476,491,1'146,1.0,1183.0,0.00%,33,0,0.00%
Sierra Leone ,72'322,402,2'715,0.006,15.0,3.09%,91'239,3'624,3.97%
Singapore ,594,193,2'212,0.3,719.0,10.49%,2'468,164,6.65%
Sint Maarten ,41,80,1'027,2.0,1985.0,0.00%,3,0,0.00%
Slovakia ,49'029,193,735,0.004,3.0,0.00%,1'719,0,0.00%
Slovenia,20'683,47,1'426,0.002,3.0,1.13%,844,11,1.29%
Solomon Islands,28'724,5'313,2'931,0.2,542.0,10.34%,3'520,100,2.84%
,,,,,,,,,
Somalia ,633'217,3'025,272,0.005,1.0,0.14%,42,2,5.68%
South Africa ,1'220'394,2'798,482,0.002,1.0,0.12%,708'467,4'266,0.60%
South Korea ,99'085,2'413,1'277,0.02,31.0,1.59%,12'156,387,3.18%
Spain,505'752,4'964,626,0.01,6.0,0.36%,20'350,235,1.15%
Sri Lanka ,66'533,1'340,1'857,0.02,37.0,3.42%,155'466,9'654,6.21%
Sudan ,2'503'825,853,405,0.0003,0.0,0.01%,781'625,106,0.01%
Suriname ,146'101,386,2'177,0.003,6.0,0.85%,22'933,1'677,7.31%
Sweden ,449'206,3'218,649,0.007,5.0,1.03%,4'255,36,0.84%
Syria ,185'757,193,251,0.001,0.0,0.12%,502,44,8.79%
Taiwan ,36'313,1'566,2'514,0.04,108.0,5.64%,7'502,531,7.08%
Tanzania ,941'757,1'424,965,0.002,1.0,0.22%,1'716'400,5'785,0.34%
Thailand ,515'107,3'219,1'404,0.006,9.0,0.90%,1'361'690,22'806,1.67%
Timor-Leste ,14'913,706,1'625,0.05,77.0,3.80%,17'244,715,4.15%
Togo,57'038,56,1'186,0.001,1.0,0.17%,121'783,436,0.36%
Tonga,672,419,1'669,0.6,1040.0,0.00%,666,0,0.00%
Trinidad and Tobago ,5'181,362,1'927,0.07,135.0,5.05%,73'139,3'557,4.86%
Tunisia,155'177,1'148,233,0.007,2.0,0.18%,289'538,688,0.24%
Turkey ,781'152,7'200,594,0.009,5.0,0.37%,1'656'110,14'329,0.87%
Ukraine,600'353,2'782,575,0.005,3.0,0.10%,393'777,859,0.22%
United Arab Emirates ,70'904,1'318,93,0.02,2.0,0.18%,5'135,14,0.27%
United Kingdom ,244'575,12'429,1'098,0.05,56.0,3.02%,29'914,703,2.35%
United States ,9'325'599,19'924,689,0.002,1.0,0.35%,267'469,2'431,0.91%
Uruguay,178'158,660,1'262,0.004,5.0,0.52%,92'620,998,1.08%
Venezuela ,912'557,2'800,1'875,0.003,6.0,0.39%,671'431,5'988,0.89%
Vietnam ,327'732,3'444,1'772,0.01,19.0,1.60%,1'112'790,28'221,2.54%
Western Sahara ,266'830,111,35,0.0004,0.0,0.11%,4'114,38,0.91%
Yemen,419'900,1'906,112,0.005,1.0,0.07%,291'737,252,0.09%
Zimbabwe,390'648,1'906,665,0.005,3.0,0.00%,524'865,0,0.00%
